	Cell	cell_type
1169	F2S4_161028_011_E01	Sst
1170	F2S4_161028_012_B01	Sst
1171	F2S4_161028_012_D01	Sst
1172	F2S4_161028_014_B01	L4
1173	F2S4_161028_015_D01	CC2
1174	F2S4_161028_016_F01	CC3
1175	F2S4_161028_016_G01	L4
1176	F2S4_161028_019_D01	CC3
1177	F2S4_161028_021_A01	CC2
1178	F2S4_161028_021_G01	CC2
1179	F2S4_161028_021_H01	L4
1180	F2S4_161103_001_H01	NP
1181	F2S4_161103_002_D01	NP
1182	F2S4_161103_003_H01	L4
1183	F2S4_161103_007_D01	CC2
1184	F2S4_161103_008_F01	Pvalb
1185	F2S4_161107_006_D01	Vip
1186	F2S4_161107_007_A01	Sncg
1187	F2S4_161107_007_F01	Vip
1188	F2S4_161107_007_G01	Vip
1189	F2S4_161107_009_D01	Vip
1190	F2S4_161107_010_H01	Vip
1191	F2S4_161107_011_A01	Vip
1192	F2S4_161107_011_D01	Vip
1193	F2S4_161107_011_H01	Vip
1194	F2S4_161107_013_B01	Vip
1195	F2S4_161107_014_D01	Vip
1196	F2S4_161107_015_E01	Vip
1197	F2S4_161107_015_F01	Vip
1198	F2S4_161107_017_E01	Vip
1199	F2S4_161107_017_H01	Vip
1200	F2S4_161107_018_D01	Vip
1201	F2S4_161107_018_H01	Vip
1202	F2S4_161109_001_C01	CC2
1203	F2S4_161109_002_C01	CC3
1204	F2S4_161110_003_F01	CC2
1205	F2S4_161111_001_C01	CC2
1206	F2S4_161111_004_D01	L6 CT
1207	F2S4_161111_005_A01	L5 PT
1208	F2S4_161111_005_D01	L5 PT
1209	F2S4_161111_006_B01	L5 PT
1210	F2S4_161111_007_G01	L5 PT
1211	F2S4_161111_007_H01	L5 PT
1212	F2S4_161114_001_B01	L6 CT
1213	F2S4_161114_001_C01	L6 CT
1214	F2S4_161114_001_G01	L5 PT
1215	F2S4_161114_001_H01	L6 CT
1216	F2S4_161116_001_A01	L2/3 IT
1217	F2S4_161117_001_A01	CC2
1218	F2S4_161117_001_B01	L2/3 IT
1219	F2S4_161117_002_B01	CC1
1220	F2S4_161117_002_F01	L6b
1221	F2S4_161117_003_C01	CC2
1222	F2S4_161117_005_A01	L4
1223	F2S4_161121_002_C01	L6 CT
1224	F2S4_161121_003_H01	L6 CT
1225	F2S4_161121_004_C01	L6 CT
1226	F2S4_161121_004_D01	L6 CT
1227	F2S4_161122_001_B01	L5 PT
1228	F2S4_161122_003_C01	L5 PT
1229	F2S4_161123_163_E01	L6 IT
1230	F2S4_161128_001_A01	CC3
1231	F2S4_161128_002_A01	L2/3 IT
1232	F2S4_161128_003_A01	L2/3 IT
1233	F2S4_161128_005_B01	L6 IT
1234	F2S4_161128_006_G01	L6 IT
1235	F2S4_161128_008_E01	L2/3 IT
1236	F2S4_161128_009_F01	L2/3 IT
1237	F2S4_161128_009_H01	L2/3 IT
1238	F2S4_161128_011_D01	L6 IT
1239	F2S4_161128_011_F01	L2/3 IT
1240	F2S4_161128_011_H01	CC1
1241	F2S4_161128_012_B01	L6 IT
1242	F2S4_161128_012_C01	L6 IT
1243	F2S4_161128_014_D01	CC3
1244	F2S4_161128_014_G01	CC1
1245	F2S4_161128_014_H01	L6 IT
1246	F2S4_161128_015_A01	L6 IT
1247	F2S4_161128_015_E01	L6 IT
1248	F2S4_161128_017_B01	L6 IT
1249	F2S4_161128_017_E01	L6 IT
1250	F2S4_161128_017_H01	L6 IT
1251	F2S4_161129_001_H01	L2/3 IT
1252	F2S4_161129_002_E01	L2/3 IT
1253	F2S4_161129_004_F01	L6 IT
1254	F2S4_161129_004_G01	L2/3 IT
1255	F2S4_161129_004_H01	L2/3 IT
1256	F2S4_161129_005_B01	L2/3 IT
1257	F2S4_161129_006_F01	L2/3 IT
1258	F2S4_161129_006_H01	L2/3 IT
1259	F2S4_161129_009_B01	L2/3 IT
1260	F2S4_161206_001_C01	L6 CT
1261	F2S4_161206_003_C01	L6 CT
1262	F2S4_161206_003_D01	L6 CT
1263	F2S4_161207_001_A01	L6 CT
1264	F2S4_161207_003_C01	L6 CT
1265	F2S4_161207_003_E01	L6 CT
1266	F2S4_161207_004_C01	L6 CT
1267	F2S4_161207_004_E01	L6 CT
1268	F2S4_161207_005_B01	L6 CT
1269	F2S4_161207_005_F01	L6 CT
1270	F2S4_161207_006_A01	L6 CT
1271	F2S4_161207_006_D01	L6 CT
1272	F2S4_161207_009_B01	L6 CT
1273	F2S4_161207_010_A01	L6 CT
1274	F2S4_161207_010_D01	L6 CT
1275	F2S4_161207_011_F01	L6 CT
1276	F2S4_161207_012_D01	L6 CT
1277	F2S4_161207_012_G01	L6 CT
1278	F2S4_161207_013_E01	L6 CT
1279	F2S4_161207_013_F01	L6 CT
1280	F2S4_161207_013_G01	L6 CT
1281	F2S4_161207_014_C01	L6 CT
1282	F2S4_161207_019_E01	L6 CT
1283	F2S4_161207_020_F01	L6 CT
1284	F2S4_161207_021_A01	L6 CT
1285	F2S4_161207_022_A01	L6 CT
1286	F2S4_161207_022_D01	L6 CT
1287	F2S4_161207_035_B01	L6 CT
1288	F2S4_170104_002_G01	L4
1289	F2S4_170104_003_G01	L2/3 IT
1290	F2S4_170105_002_E01	L5 PT
1291	F2S4_170105_003_E01	L5 PT
1292	F2S4_170105_003_H01	L5 PT
1293	F2S4_170105_009_C01	L5 PT
1294	F2S4_170105_010_F01	L6 IT
1295	F2S4_170105_012_E01	L2/3 IT
1296	F2S4_170105_012_F01	L2/3 IT
1297	F2S4_170116_001_B01	L4
1298	F2S4_170116_001_F01	CC2
1299	F2S4_170116_006_B01	L4
1300	F2S4_170116_007_A01	L4
1301	F2S4_170116_008_A01	CC3
1302	F2S4_170116_008_B01	CC3
1303	F2S4_170116_008_D01	CC3
1304	F2S4_170116_010_E01	L4
1305	F2S4_170116_011_D01	L4
1306	F2S4_170116_012_A01	CC2
1307	F2S4_170116_012_C01	L4
1308	F2S4_170116_012_F01	L4
1309	F2S4_170123_001_A01	CC1
1310	F2S4_170123_001_H01	L2/3 IT
1311	F2S4_170123_002_B01	L6 IT
1312	F2S4_170123_002_C01	L2/3 IT
1313	F2S4_170124_001_A01	L2/3 IT
1314	F2S4_170124_001_D01	L2/3 IT
1315	F2S4_170124_001_F01	CC3
1316	F2S4_170124_001_H01	L2/3 IT
1317	F2S4_170124_002_F01	L6 IT
1318	F2S4_170125_001_A01	L5 PT
1319	F2S4_170125_001_F01	L6b
1320	F2S4_170125_001_G01	L6 CT
1321	F2S4_170125_001_H01	L4
1322	F2S4_170126_004_A01	L4
1323	F2S4_170126_004_C01	CC3
1324	F2S4_170126_004_D01	L4
1325	F2S4_170126_004_F01	L2/3 IT
1326	F2S4_170126_005_H01	CC3
1327	F2S4_170126_007_C01	L4
1328	F2S4_170126_009_A01	L4
1329	F2S4_170126_009_E01	L4
1330	F2S4_170126_011_D01	L4
1331	F2S4_170126_011_H01	CC2
1332	F2S4_170126_012_D01	L4
1333	F2S4_170126_014_H01	L4
1334	F2S4_170126_015_H01	L4
1335	F2S4_170126_016_C01	L4
1336	F2S4_170126_016_E01	L4
1337	F2S4_170126_021_H01	L4
1338	F2S4_170126_023_E01	Sst
1339	F2S4_170126_023_F01	Pvalb
1340	F2S4_170126_023_G01	CC3
1341	F2S4_170130_003_F01	L6 IT
1342	F2S4_170130_003_H01	L6 IT
1343	F2S4_170130_004_F01	L6 IT
1344	F2S4_170130_005_C01	L6 IT
1345	F2S4_170130_010_D01	L5 PT
1346	F2S4_170201_001_D01	L5 PT
1347	F2S4_170201_002_H01	L5 PT
1348	F2S4_170201_003_G01	L5 PT
1349	F2S4_170201_004_B01	L5 PT
1350	F2S4_170201_004_D01	L5 PT
1351	F2S4_170201_004_H01	L6 CT
1352	F2S4_170201_005_F01	L5 PT
1353	F2S4_170201_007_C01	L5 PT
1354	F2S4_170201_008_E01	L5 PT
1355	F2S4_170201_018_A01	L6 CT
1356	F2S4_170201_018_D01	L6 CT
1357	F2S4_170201_018_F01	L6 CT
1358	F2S4_170202_002_G01	L5 PT
1359	F2S4_170202_007_C01	L6 IT
1360	F2S4_170202_009_A01	L6 IT
1361	F2S4_170202_010_F01	L6 IT
1362	F2S4_170203_003_A01	L5 PT
1363	F2S4_170203_006_F01	L4
1364	F2S4_170203_007_F01	L2/3 IT
1365	F2S4_170203_008_H01	L4
1366	F2S4_170203_010_C01	L6 IT
1367	F2S4_170203_010_H01	L6 IT
1368	F2S4_170203_011_C01	L2/3 IT
1369	F2S4_170203_012_A01	L6 IT
1370	F2S4_170203_012_C01	L4
1371	F2S4_170203_012_G01	L6 IT
1372	F2S4_170203_014_A01	L6 IT
1373	F2S4_170203_014_B01	L6 IT
1374	F2S4_170203_014_D01	L2/3 IT
1375	F2S4_170203_016_A01	L4
1376	F2S4_170203_017_B01	L6 IT
1377	F2S4_170203_017_F01	L6 IT
1378	F2S4_170203_020_C01	CC3
1379	F2S4_170203_022_A01	L6 IT
1380	F2S4_170203_022_B01	L6 IT
1381	F2S4_170203_022_C01	L6 IT
1382	F2S4_170203_025_D01	L4
1383	F2S4_170203_025_E01	L6 IT
1384	F2S4_170203_026_D01	CC3
1385	F2S4_170320_001_A01	Astro
1386	F2S4_170320_001_F01	Astro
1387	F2S4_170320_003_D01	Astro
1388	F2S4_170320_005_F01	Lamp5
1389	F2S4_170320_006_C01	Astro
1390	F2S4_170320_007_C01	Astro
1391	F2S4_170320_007_E01	Astro
1392	F2S4_170320_007_G01	Vip
1393	F2S4_170323_010_C01	Astro
1394	F2S4_170323_010_F01	Astro
1395	F2S4_170323_011_E01	Astro
1396	F2S4_170323_011_F01	Endo
1397	F2S4_170323_015_F01	Astro
1398	F2S4_170323_016_B01	Astro
1399	F2S4_170323_025_C01	Astro
1400	F2S4_170323_025_F01	Astro
1401	F2S4_170323_026_C01	Astro
1402	F2S4_170323_027_A01	Endo
1403	F2S4_170323_028_D01	Astro
1404	F2S4_170323_028_F01	Astro
1405	F2S4_170323_038_H01	Astro
1406	F2S4_170323_052_G01	Astro
1407	F2S4_170323_052_H01	Astro
1408	F2S4_170323_059_A01	Astro
1409	F2S4_170406_001_B01	Pvalb
1410	F2S4_170406_002_F01	Sst
1411	F2S4_170406_003_H01	Pvalb
1412	F2S4_170406_004_E01	Pvalb
1413	F2S4_170406_004_H01	Pvalb
1414	F2S4_170406_006_G01	Pvalb
1415	F2S4_170406_009_D01	Pvalb
1416	F2S4_170406_010_A01	Pvalb
1417	F2S4_170406_015_H01	Pvalb
1418	F2S4_170406_017_E01	Vip
1419	F2S4_170406_018_E01	Vip
1420	F2S4_170410_001_A01	L6 IT
1421	F2S4_170410_001_E01	L6 IT
1422	F2S4_170410_001_H01	L2/3 IT
1423	F2S4_170410_002_D01	L2/3 IT
1424	F2S4_170410_002_F01	L2/3 IT
1425	F2S4_170410_004_D01	L2/3 IT
1426	F2S4_170410_004_E01	L6 IT
1427	F2S4_170410_005_E01	L5 PT
1428	F2S4_170411_001_C01	L6 IT
1429	F2S4_170411_002_A01	L5 PT
1430	F2S4_170411_006_C01	L6 IT
1431	F2S4_170420_007_G01	Pvalb
1432	F2S4_170420_009_F01	Pvalb
1433	F2S4_170420_010_B01	Pvalb
1434	F2S4_170516_001_G01	L4
1435	F2S4_170516_003_F01	L4
1436	F2S4_170516_005_F01	L4
1437	F2S4_170516_006_C01	L4
1438	F2S4_170516_008_E01	L4
1439	F2S4_170516_011_D01	L4
1440	F2S4_170516_012_C01	L4
1441	F2S4_170516_012_G01	L4
1442	F2S4_170516_013_C01	L4
1443	F2S4_170518_006_H01	Sst
1444	F2S4_170518_011_A01	L6 IT
1445	F2S4_170518_016_C01	Vip
1446	F2S4_170518_017_G01	Vip
1447	F2S4_170519_001_C01	Vip
1448	F2S4_170519_004_A01	Vip
1449	F2S4_170519_004_B01	Vip
1450	F2S4_170519_004_F01	Vip
1451	F2S4_170519_006_C01	L6 IT
1452	F2S4_170519_008_E01	L6 IT
1453	F2S4_170526_002_D01	NP
1454	F2S4_170526_002_H01	Lamp5
1455	F2S4_170526_005_A01	L6 IT
1456	F2S4_170526_008_A01	Sst
1457	F2S4_170526_008_F01	NP
1458	F2S4_170526_009_B01	Pvalb
1459	F2S4_170526_010_F01	NP
1460	F2S4_170526_014_G01	NP
1461	F2S4_170526_015_D01	Pvalb
1462	F2S4_170526_017_B01	NP
1463	F2S4_170526_019_A01	NP
1464	F2S4_170526_019_G01	L6 IT
1465	F2S4_170605_001_F01	L6b
1466	F2S4_170605_002_B01	L6b
1467	F2S4_170605_002_H01	L6b
1468	F2S4_170605_004_C01	L6b
1469	F2S4_170605_005_D01	L6b
1470	F2S4_170605_007_E01	L6b
1471	F2S4_170605_008_F01	L6b
1472	F2S4_170605_010_A01	L6b
1473	F2S4_170605_011_C01	L6b
1474	F2S4_170605_011_H01	L6b
1475	F2S4_170605_012_D01	L6b
1476	F2S4_170605_013_C01	L6b
1477	F2S4_170605_013_G01	L6b
1478	F2S4_170605_015_G01	L6b
1479	F2S4_170605_016_F01	L6b
1480	F2S4_170605_016_G01	L6b
1481	F2S4_170605_017_C01	L6b
1482	F2S4_170605_017_E01	L6b
1483	F2S4_170605_017_F01	L6b
1484	F2S4_170609_002_C01	L6b
1485	F2S4_170609_003_D01	L6b
1486	F2S4_170609_003_F01	L6b
1487	F2S4_170609_007_E01	L2/3 IT
1488	F2S4_170707_003_B01	Lamp5
1489	F2S4_170707_003_H01	Lamp5
1490	F2S4_170707_005_D01	Vip
1491	F2S4_170707_006_A01	Lamp5
1492	F2S4_170707_011_A01	Vip
1493	F2S4_170707_011_C01	Vip
1494	F2S4_170707_014_E01	Vip
1495	F2S4_170707_014_H01	Vip
1496	F2S4_170707_019_E01	Sst
1497	F2S4_170707_019_F01	Sncg
1498	F2S4_170707_020_A01	Vip
1499	F2S4_170707_020_B01	Vip
1500	F2S4_170707_020_C01	Vip
1501	F2S4_170707_020_D01	Sncg
1502	F2S4_170707_030_F01	Sst
1503	F2S4_170707_037_A01	Vip
1504	F2S4_170707_037_D01	Vip
1505	F2S4_170707_037_H01	Vip
1506	F2S4_170707_038_A01	Vip
1507	F2S4_170803_004_C01	Sst
1508	F2S4_170803_004_G01	L6 IT
1509	F2S4_170803_007_B01	Sst
1510	F2S4_170803_007_H01	Pvalb
1511	F2S4_170803_008_D01	L6 IT
1512	F2S4_170803_010_D01	L6 IT
1513	F2S4_170803_012_C01	Sst
1514	F2S4_170803_012_G01	Sst
1515	F2S4_170803_015_E01	L6 IT
1516	F2S4_170803_015_F01	Pvalb
1517	F2S4_170803_021_D01	Sst
1518	F2S4_170803_021_E01	L6 IT
1519	F2S4_170807_005_E01	Vip
1520	F2S4_170807_007_H01	Vip
1521	F2S4_170807_009_D01	Vip
1522	F2S4_170807_010_F01	Vip
1523	F2S4_170807_022_E01	Sst
1524	F2S4_170828_003_B01	Lamp5
1525	F2S4_170828_004_G01	Sst
1526	F2S4_170828_008_G01	Sst
1527	F2S4_170830_002_D01	Sst
1528	F2S4_170830_003_A01	Sst
1529	F2S4_170830_003_B01	Sst
1530	F2S4_170907_001_H01	Sst
1531	F2S4_170907_003_H01	Sst
1532	F2S4_170907_004_B01	Pvalb
1533	F2S4_170908_003_C01	Sst
1534	F2S4_170908_005_D01	Sst
1535	F2S4_170908_006_D01	Sst
1536	F2S4_170908_009_C01	Sst
1537	F2S4_170908_010_A01	Sst
1538	F2S4_170908_010_B01	Sst
1539	F2S4_170908_012_C01	Sst
1540	F2S4_170908_012_G01	Sst
1541	F2S4_170914_001_F01	L6 IT
1542	F2S4_170914_002_G01	L6 IT
1543	F2S4_170918_001_H01	L6 IT
1544	F2S4_170918_002_F01	L6 IT
1545	F2S4_171003_007_D01	Lamp5
1546	F2S4_171003_016_A01	L6 IT
1547	F2S4_171018_002_E01	Pvalb
1548	F2S4_171027_003_E01	NP
1549	F2S4_171108_001_B01	Sst
1550	F2S4_171108_001_C01	Sst
1551	F2S4_171108_001_F01	Sst
1552	F2S4_171108_002_D01	Sst
1553	F2S4_171108_003_E01	Sst
1554	F2S4_171108_004_E01	Sst
1555	F2S4_171109_009_C01	Sst
1556	F2S4_171109_009_D01	Sst
1557	F2S4_171120_001_A01	Astro
1558	F2S4_171120_002_A01	Astro
1559	F2S4_171120_003_D01	Astro
1560	F2S4_171120_003_E01	Astro
1561	F2S4_171120_004_C01	Astro
1562	F2S4_171120_004_G01	Astro
1563	F2S4_171120_005_A01	Astro
1564	F2S4_171120_005_E01	Astro
1565	F2S4_171120_005_H01	Astro
1566	F2S4_171120_006_C01	Astro
1567	F2S4_171120_009_B01	Astro
1568	F2S4_171120_009_F01	Astro
1569	F2S4_171120_009_G01	Astro
1570	F2S4_171120_010_F01	Astro
1571	F2S4_171120_010_G01	L4
1572	F2S4_171120_011_D01	L4
1573	F2S4_171120_011_E01	Astro
1574	F2S4_171120_011_G01	Astro
1575	F2S4_171120_012_D01	Astro
1576	F2S4_171120_012_E01	Astro
1577	F2S4_171120_012_G01	Astro
1578	F2S4_171120_012_H01	L4
1579	F2S4_171120_014_H01	L4
1580	F2S4_171120_016_C01	Astro
1581	F2S4_171120_016_G01	Astro
1582	F2S4_171120_017_C01	Astro
1583	F2S4_171120_017_F01	CC3
1584	F2S4_171120_017_G01	Astro
1585	F2S4_171120_017_H01	Astro
1586	F2S4_171120_019_A01	Astro
1587	F2S4_171120_019_B01	Astro
1588	F2S4_171120_019_D01	Astro
1589	F2S4_171120_019_H01	Astro
1590	F2S4_171120_020_B01	Astro
1591	F2S4_171120_020_C01	CC3
1592	F2S4_171120_020_D01	Astro
1593	F2S4_171120_023_E01	Astro
1594	F2S4_171120_023_F01	Astro
1595	F2S4_171120_024_B01	Astro
1596	F2S4_171120_024_F01	Astro
1597	F2S4_171120_027_A01	Astro
1598	F2S4_171120_027_B01	Astro
1599	F2S4_171120_028_E01	Astro
1600	F2S4_171120_028_G01	Astro
1601	F2S4_171122_007_F01	Lamp5
1602	F2S4_171122_010_A01	Sst
1603	F2S4_171128_004_A01	Vip
1604	F2S4_171128_005_C01	Sst
1605	F2S4_171128_005_D01	Sncg
1606	F2S4_171129_002_C01	L2/3 IT
1607	F2S4_171201_005_B01	Pvalb
1608	F2S4_171201_008_A01	Pvalb
1609	F2S4_171201_008_C01	Pvalb
1610	F2S4_171201_008_E01	Pvalb
1611	F2S4_171201_009_B01	Pvalb
1612	F2S4_171201_009_C01	Pvalb
1613	F2S4_171201_011_H01	Pvalb
1614	F2S4_171215_006_D01	L2/3 IT
1615	F2S4_180110_004_A01	CC1
1616	F2S4_180110_004_C01	CC2
1617	F2S4_180110_005_B01	CC3
1618	F2S4_180110_005_F01	L5 PT
1619	F2S4_180110_041_E01	CC3
1620	F2S4_180110_043_F01	L5 PT
1621	F2S4_180110_047_B01	CC2
1622	F2S4_180110_048_C01	L5 PT
1623	F2S4_180110_048_F01	L5 PT
1624	F2S4_180110_049_B01	L5 PT
1625	F2S4_180110_049_D01	CC3
1626	F2S4_180110_049_G01	CC2
1627	F2S4_180110_053_G01	CC3
1628	F2S4_180110_054_A01	L5 PT
1629	F2S4_180110_054_C01	L5 PT
1630	F2S4_180110_058_F01	CC3
1631	F2S4_180110_058_H01	CC2
1632	F2S4_180110_065_B01	CC3
1633	F2S4_180110_066_A01	CC3
1634	F2S4_180110_066_D01	L5 PT
1635	F2S4_180110_066_E01	CC3
1636	F2S4_180110_066_H01	L5 PT
1637	F2S4_180110_067_E01	L5 PT
1638	F2S4_180110_067_H01	L5 PT
1639	F2S4_180110_071_E01	L5 PT
1640	F2S4_180110_072_D01	L5 PT
1641	F2S4_180110_072_H01	L5 PT
1642	F2S4_180110_073_B01	CC2
1643	F2S4_180122_021_H01	NP
1644	F2S4_180122_025_A01	NP
1645	F2S4_180226_001_C01	L2/3 IT
1646	F2S4_180228_004_C01	CC2
1647	F2S4_180228_004_D01	L4
1648	F2S4_180228_004_H01	L4
1649	F2S4_180228_005_C01	CC3
1650	F2S4_180228_005_F01	L4
1651	F2S4_180228_007_A01	CC3
1652	F2S4_180228_008_C01	CC2
1653	F2S4_180228_008_D01	CC3
1654	F2S4_180228_009_A01	CC1
1655	F2S4_180228_009_E01	CC3
1656	F2S4_180228_009_F01	CC3
1657	F2S4_180228_009_G01	CC3
1658	F2S4_180228_016_F01	CC2
1659	F2S4_180228_018_E01	L4
1660	F2S4_180228_019_C01	CC3
1661	F2S4_180228_019_E01	CC3
1662	F2S4_180312_009_A01	Sst
1663	F2S4_180312_009_D01	Sst
1664	F2S4_180312_011_D01	Sst
1665	F2S4_180312_011_F01	Sst
1666	FYS4_171003_509_E01	Pvalb
1667	FYS4_171004_102_H01	Vip
